Crops,Input_costs,Tillage_Interculture_cost,Irrigation_cost,Harvesting_Cost,Other_costs,Yield
Banana,40450,19200,9700,0,7000,387
Potato,21156,3400,4060,2800,3000,120
Onion,17000,4000,5000,4000,3000,70
Ginger,43000,4000,8000,4000,7000,80
Rice,17400,16000,4600,16000,5400,46
Wheat,6100,2000,2800,1200,2000,16
Maize,6500,3700,2000,2000,2500,20
Bajra,5600,1700,2000,1100,2000,15
Tobacco,9000,1800,3000,12000,5000,10
Groundnut,16600,4700,2000,4800,3000,14
Cotton,5650,8000,3000,5000,3000,11
Sesame,4230,3250,2000,2100,2000,6
